FROM_ZIP,nrst_dist
27615,1.2663973687
27616,4.4577793919
27617,1.394927139
27619,2.9846695263
27620,2.9846695263
27621,2.9846695263
27622,2.9846695263
27623,1.9429041042
27624,2.9846695263
27625,2.9846695263
27626,2.9846695263
27627,2.9846695263
27628,2.9846695263
27629,2.9846695263
27634,2.9846695263
27635,2.9846695263
27636,2.9846695263
27640,2.9846695263
27650,2.9846695263
27656,2.9846695263
27658,2.9846695263
27661,2.0433011694
27668,2.9846695263
27675,2.9846695263
27676,2.5221484507
27690,2.9846695263
27695,0.7061632232
27697,2.9846695263
27698,2.9846695263
27699,2.9846695263
27701,1.9533636798
27702,2.1861182114
27703,3.2244561052
27704,3.6753583914
27705,3.3070632884
27706,0.8752909362
27707,2.9472291821
27708,0.8400164416
27709,3.85138233
27710,2.1861182114
27711,2.1861182114
27712,3.5533578965
27713,1.6821595255
27715,2.1861182114
27717,2.1861182114
27722,2.1861182114
27801,7.5257933027
27802,3.5263358616
27803,5.1437898571
27804,0.6279143091
27805,8.2679914037
27806,21.345170954
27807,8.0578700776
27808,16.571116925
27809,4.9250695943
27810,25.063277531
27811,6.2184554221
27812,10.124472581
27813,5.8551694918
27814,12.953453482
27815,6.0275983948
27816,11.909774558
27817,7.6131114225
27818,14.215091046
27819,8.9482946288
27820,17.235420214
27821,17.255000571
27822,5.5014844942
27823,16.585462624
27824,37.648637906
27825,5.6855212506
27826,37.999364431
27827,8.5130358532
27828,9.0812895401
27829,14.234313594
27830,10.136146225
27831,7.0111778848
27832,6.6022666308
27833,1.5750654498
27834,4.0617102176
27835,1.5793940082
27836,1.5793940082
27837,9.4846322982
27839,11.209312576
27840,11.61729386
27841,12.39591087
27842,12.933750788
27843,8.745717201
27844,19.444180838
27845,12.152637786
27846,11.561760799
27847,12.456478554
27849,17.088345919
27850,13.030521593
27851,7.0704409256
27852,10.535021448
27853,20.282602837
27855,10.123330857
27856,9.0092935207
27857,14.322095997
27858,8.3693934798
27860,18.748038029
27861,13.448224688
27862,18.017684145
27863,5.9446975827
27864,9.5712371024
27865,13.208613629
27866,10.50825523
27867,14.716089838
27868,5.3984503899
27869,19.222791287
27870,3.8875949973
27871,10.76471634
27872,15.690702816
27873,10.530068895
27874,16.473821256
27875,32.995102196
27876,14.539470345
27877,18.499331901
27878,7.4796223999
27879,7.1059117549
27880,9.0173380026
27881,6.8337960686
27882,15.022005314
27883,10.848103772
27884,10.110205498
27885,44.517166813
27886,3.7759427821
27887,15.546161948
